	DTHY	h
amplia	PLX	BQ
ampliación	PHA	BP
ampliar	PIP	g
amplificación	PIv	BB
amplificador	PJw	+
amplificar	PKu	p
amplio	PLX	BQ
ampolla	PMn	+
ampolla	PNl	BW
ampolleta	PO7	z
amputar	PPu	i
amén	Ocj	i
américa	OkT	s
américa central	OfT	Bi
américa del norte	Og1	Bz
américa del sur	Oio	Br
américa latina	Ok/	BC
américa meridional	OmB	BM
amígdala	OuY	5
anabolismo	PRd	4
anabólica	PQQ	BN
anabólico	PQQ	BN
anaconda	PSr	v
anal	PUe	Z
anales	PU3	w
analfabeta	PVn	4
analfabeto	PWf	2
analgésico	PXV	BS
analista	PdU	5
analista	PeN	3
analizar	PfE	m
analogía	Pfq	w
ananás	PhU	q
anaranjado	Ph+	s
anarca	Piq	BR
anarco	Pj7	BP
anarquista	Piq	BR
anarquista	Pj7	BP
anarquista	Pm+	w
anarquía	PlK	w
anatomía	Pnu	w
anatómica	Poe	BI
anatómico	Poe	BI
ancas de rana	Ppm	BL
ancestral	Pqx	w
ancha	PsK	6
ancho	PsK	6
anchoa	Prh	p
anchura	PtE	r
anciana	Ptv	1
anciano	Ptv	1
anciano	Puk	q
ancla	PvO	k
anclar	Pvy	a
anclar	PwM	h
andalucía	Pwt	1
andaluz	Pxi	+
andante	Pyg	8
andar	P0m	p
andar	P1P	r
andar	Pzc	Y
andar lento	Pz0	y
andes	P2j	s
andina	P3P	y
andino	P3P	y
andorra	P4B	e
andrajo	P4f	1
andén	P16	p
anecdótica	P7K	BP
anecdótico	P7K	BP
anegar	P8Z	l
anemia	P+a	/
anestesia	QAE	BM
anestesiar	QBQ	n
anexar	QB3	j
anexionar	QCa	o
anexo	QDC	8
anfeta	QD+	Ba
anfetamina	QD+	Ba
anfibia	QFY	8
anfibio	QFY	8
anfibio	QGU	s
anfitriona	QHA	3
anfitrión	QH3	0
angelical	QJV	r
angina	QLs	v
angloparlante	QNj	2
anglosajona	QOZ	BW
anglosajón	QOZ	BW
anglófona	QMb	BI
anglófono	QMb	BI
angola	QPv	b
angora	QQK	v
angosta	QQ5	3
angosto	QQ5	3
angostura	QRw	w
angstrom	QSg	x
anguila	QTR	n
angula	QT4	q
angula	QUi	q
angular	QVM	n
angustia	QXg	x
anhelar	QYR	BC
anhelo	QZT	p
anieblarse	Qan	s
anilina	QbT	r
anillo	Qeb	l
anillo de compromiso	Qb+	BR
anillo defensivo	QdP	BM
animada	QfA	BU
animada	QgU	9
animado	QfA	BU
animado	QgU	9
animador	Qii	BL
animadora	QhR	BR
animal	Qm3	n
animal domestico	Qjt	BE
animal doméstico	Qkx	BD
animal fabuloso	Ql0	BD
animar	QoD	g
animosa	Qq/	7
animosidad	QqD	8
animoso	Qq/	7
aniquilar	Qth	m
anisotropía	Qup	8
anisótropa	Qvl	BN
anisótropo	Qvl	BN
aniversario	Qwy	6
aniversario	Qxs	BQ
aniñada	Qr6	BC
aniñado	Qr6	BC
anión	Qs8	l
ano	Q5Z	f
anoche	Q0w	h
anoche	Q1R	g
anochecer	Qy8	7
anochecer	Qz3	5
anodización	Q2q	9
anomalía	Q4N	w
anona	Q6Z	o
anonimato	Q7B	0
anorak	Q9i	q
anorexia	Q+t	z
anormal	Q/g	y
anormalidad	RAS	5
anotación	RB2	w
anotar	RCm	i
anseática	REW	BW
anseático	REW	BW
ansia	RFs	j
ansiar	RGP	a
ansiedad	RGp	Bk
ansiolítico	RIN	BD
ansiosa	RJQ	BF
ansiosa de	RKV	BH
ansioso	RJQ	BF
ansioso de	RKV	BH
anta	RLc	p
anta	RMF	h
antagonismo	RN4	6
antagonista	ROy	BS
antagónica	RMm	BS
antagónico	RMm	BS
ante	RR+	x
ante	RqP	j
ante todo	Rpa	1
anteanoche	RSv	0
anteanoche	RTj	u
anteanteayer	RUR	y
anteayer	RVD	l
antebrazo	RVo	0
antecedente	RWc	3
anteceder	RXT	7
antecesor	RYO	1
antediluviana	RZD	Bj
antediluviano	RZD	Bj
antelación	Ram	4
antemano de	Rbe	u
antena	RcM	o
anteojos	Rc0	4
antepasado	Rds	0
antepenúltima	Reg	Ba
antepenúltimo	Reg	Ba
anteponer	Rf6	l
anterior	Rgf	p
anterior	Rim	BJ
anterioridad	RhI	Be
anteriormente	Rjv	/
anteriormente de	Rku	1
antes	RmT	j
antes	Ror	Y
antes	RpD	X
antes de	Rnv	f
antes de	RoO	d
antes de anoche	Rm2	5
antesala	Rlj	w
antiadherente	Rrp	0
antiarrugas	Rsd	t
antibalas	RtK	t
antibelicista	Rt3	BD
antibelicista	Ru6	BB
antibiótico	Rv7	7
anticaspa	Rw2	u
anticipada	Rxk	BO
anticipado	Rxk	BO
anticipar	Ryy	m
anticipo	RzY	x
anticoagulante	R0J	BQ
anticonceptivo	R1Z	BK
anticongelante	R2j	BH
anticristo	R3q	2
anticuada	R4g	BX
anticuado	R4g	BX
anticucho	R53	0
anticuerpo	R6r	3
antidepresivo	R7i	BF
antideslizante	R8n	5
antifaz	R+Q	r
antigua	SAj	BB
antiguo	SAj	BB
antigüedad	R/o	7
antihigiénica	SCW	BY
antihigiénico	SCW	BY
antihéroe	SBk	y
antiinflamatorio	SDu	CE
antimateria	SGg	5
antimonio	SHZ	w
antinatural	SIJ	3
antioxidante	SJA	BB
antipapa	SKB	x
antipartícula	SKy	/
antipatía	SLx	BL
antipatía	SM8	BL
antipática	SOH	BP
antipático	SOH	BP
antireflectante	SQF	7
antisemita	SR2	0
antisemita	SRA	2
antisemitismo	SUB	BB
antisemítica	SSq	BX
antisemítico	SSq	BX
antisocial	SWq	r
antiséptica	SVC	Bo
antiséptico	SVC	Bo
antiterrorista	SXV	BO
antitética	SZU	Bd
antitético	SZU	Bd
antiácido	Rqy	3
antojadiza	Sax	BM
antojadizo	Sax	BM
antojarse	Sb9	BC
antojo	Sc/	s
antología	Sdr	BS
antuerpia	OI7	BU
antuérpia	OI7	BU
antártica	RQE	BH
antártico	RQE	BH
antártida	RRL	z
antídoto	R9g	w
antígeno	R+7	t
antílope	SFy	u
antípoda	SPW	v
antítesis	SYj	x
anual	Sfq	g
anualmente	SgK	s
anublar	Sg2	n
anulación	Shd	3
anular	SiU	h
anunciar	Si1	m
anunciar	Sjb	Bj
anuncio	Sk+	BF
anuncio	SmD	r
anzuelo	Smu	p
análisis	PZ4	t
análisis combinatorio	PYn	BR
análisis matemático	Pal	BJ
análisis numérico	Pbu	Bm
análoga	Pga	6
análogo	Pga	6
anárquica	Pl6	BE
anárquico	Pl6	BE
anécdota	P5U	BH
anécdota	P6b	v
anémona	P/Z	r
aníbal	QZ8	r
anímica	Qoj	6
anímico	Qoj	6
anís	QuH	i
anómalo	Q49	c
anónima	Q71	4
anónimo	Q71	4
aorta	SnX	l
apache	Sn8	o
apacible	Sok	1
apaciguar	SpZ	o
apadrinar	SqB	5
apagar	Sq6	w
apagar	Srq	x
apagar	Ssb	m
apagón	StB	x
apalear	Sty	v
aparato	SwO	BB
aparato circulatorio	Suh	Bt
aparato microondas	SxP	BL
aparcamiento	Sya	6
aparcar	SzU	f
aparecer	S1q	q
aparecer	Szz	3
aparecerse	S0q	BA
aparecida	S2U	BM
aparecido	S2U	BM
aparejar	S3g	l
aparentar	S4F	BF
aparente	S5K	q
aparición	S50	3
apariencia	S6r	2
apariencia	S7h	BK
apartado	S8r	BG
apartamento	S++	BY
apartamento	S9x	BN
apartar	TBX	g
apartarse	TAW	BB
aparte	TB3	h
aparte	TCY	o
apasionada	TDA	Bk
apasionado	TDA	Bk
apatía	TEk	BL
apear	TG9	d
apechugar	THa	5
apedrear	TIT	l
apegarse a alguien	TI4	BG
apego	TJ+	v
apelar	TKt	h
apellido	TLO	w
apenar	TL+	g
apenas	TMe	d
aperitiva	TNo	BJ
aperitivo	TNo	BJ
aperitivo	TOx	z
aperitivo	TPk	BS
apertura	TQ2	x
apestada	TSL	BB
apestado	TSL	BB
apestar	TTM	f
apetecer	TTr	k
apetecible	TUP	BF
apetito	TVU	s
apetitosa	TWA	BC
apetitoso	TWA	BC
apicultor	TXw	v
apicultura	TYf	z
apilar	TZq	g
apio	TaK	l
apisonadora	Tav	2
aplanar	Tbl	8
aplastar	Tch	l
aplaudir	TdG	o
aplaudir	Tdu	BA
aplauso	Teu	r
aplazar	TfZ	k
aplicabilidad	Tf9	BC
aplicable	Tg/	r
aplicación	Thq	2
aplicación	Tig	BP
aplicada	Tjv	BD
aplicado	Tjv	BD
aplicar	Tky	g
aplique	TlS	r
aplomar	Tl9	i
apocada	Tmf	BB
apocado	Tmf	BB
apocalíptica	Tng	Bb
apocalíptico	Tng	Bb
apocar	To7	y
apoderado	Tpt	Bf
apoderar	TrM	s
apolillada	Tsi	Bn
apolillado	Tsi	Bn
apolillar	TuJ	BI
aporrear	TvR	n
aportar	Tv4	0
aporte	Tws	p
aposento	TxV	u
apostante	Ty0	y
apostante	TyD	x
apostar	Tzm	r
apostura	T08	BV
apoyar	T29	o
apoyar	T2R	s
apoyo	T3l	6
apreciable	T4f	BC
apreciar	T5h	l
aprecio	T6G	s
apremiar	T6y	y
apremiar	T7k	BE
aprender	T9W	h
aprender a	T8o	u
aprendiz	T/B	x
aprendizaje	T93	BK
aprensiva	UAm	BP
aprensivo	UAm	BP
aprensión	T/y	0
apresurada	UCb	BM
apresurado	UCb	BM
apresurarse	UDn	u
apretada	UEV	BM
apretada	UFh	Ba
apretado	UEV	BM
apretado	UFh	Ba
apretar	UG7	h
apretar	UHc	l
apretujar	UIB	m
aprobación	UIn	3
aprobación	UJe	B4
aprobada	ULW	BH
aprobado	ULW	BH
aprobar	UNq	m
aprobar un examen	UMd	BN
apropiada	UOQ	BI
apropiado	UOQ	BI
apropiarse	UPY	s
aprovechada	URe	B2
aprovechado	URe	B2
aprovechar	UTU	r
aprovecharse	UT/	w
aproximación	UUv	+
aproximada	UWo	BV
aproximadamente	UVt	7
aproximado	UWo	BV
aproximar	UX9	l
aproximar	UYi	BI
aproximarse	UZq	v
aproximativa	UaZ	Bh
aproximativo	UaZ	Bh
apta	UdC	u
apta	Udw	7
aptitud	Ub6	BI
apto	UdC	u
apto	Udw	7
apuesta	Uer	BB
apunarse	UgR	9
apuntar	UhO	k
apuntar	Uhy	BR
apurar	UjD	f
apuro	Uji	8
apuñalar	Ufs	l
apática	TFv	BO
apático	TFv	BO
apéndice	TM7	t
apóstol	T0R	r
aquel	UlN	Bx
aquel	Um+	U
aquella	UlN	Bx
aquella	UnS	Z
aquellas	UoF	/
aquello	UlN	Bx
aquello	Unr	a
aquellos	UoF	/
aquietar	UrN	i
aquilón	Urv	r
aquilón	Usa	t
aquisgrán	UtH	j
aquí	UqL	Z
arabia	Utq	c
arabia saudita	UuG	Bc
arabia saudí	UuG	Bc
arac	Uvi	j
arado	UwF	2
araña	Uw7	o
arañar	Uxj	g
arañazo	UyD	w
arbitrar	U2t	n
arbitraria	U1Z	BU
arbitrario	U1Z	BU
arbusto	U71	BQ
arbusto	U7L	q
arbórea	U6U	3
arbóreo	U6U	3
arca	U+i	3
arca	U9/	j
arca de noé	U9F	6
arcaica	U/Z	9
arcaico	U/Z	9
arcano	VAW	r
arcas	VBB	w
arce	VBx	7
archiduque	VCs	2
archipiélago	VDi	7
archivar	VEd	o
archivista	VFF	2
archivo	VF7	s
archivo	VGn	2
arcilla	VHd	o
arco	VI6	j
arco iris	VIF	1
arder	VJd	b
ardilla	VJ4	y
ardor	VKq	8
arena	VMg	k
arenilla	VNE	z
arenosa	VN3	8
arenoso	VN3	8
arenque	VOz	q
argelia	VPd	s
argelina	VQJ	BD
argelino	VQJ	BD
argentina	VRM	1
argentina	VS4	BK
argentina	VSB	3
argentino	VS4	BK
argentino	VUC	1
argolla	VU3	s
argumentación	VVj	BE
argumento	VWn	BV
aridez	VX8	x
aries	VZi	z
aristocracia	VaV	2
aristocrática	VcC	BY
aristocrático	VcC	BY
aristócrata	VbL	3
arma	Vhe	j
arma	ViB	j
arma de fuego	VeD	+
arma química	Vik	BY
armada	Vda	p
armada	Vf3	5
armadillo	VfB	2
armado	Vf3	5
armador	Vgw	u
armar	Vko	w
armario	Vj8	s
armas	VlY	u
armenia	VmG	e
armenia	Vmk	BO
armenio	Vmk	BO
armenio	Vny	BN
armisticio	Vo/	9
armonizar	Vrf	r
armonía	Vp8	v
armónica	Vqr	0
aro	Vws	j
aroma	VsK	k
aromatizar	VwD	p
aromática	Vsu	BK
aromática	Vt4	BH
aromática	Vu/	BE
aromático	Vsu	BK
aromático	Vt4	BH
aromático	Vu/	BE
arpa	VxP	j
arpón	Vxy	o
arqueología	Vya	8
arqueólogo	VzW	4
arquitecto	V0O	0
arquitectura	V2r	7
arquitectura de ordenadores	V1C	Bp
arraigar	V3m	l
arrancar	V4L	9
arrancarse	V5I	3
arranque	V5/	BB
arrastrar	V7A	BE
arrastrarse	V8E	r
arrastre	V8v	x
arrebatar	V9g	6
arrebato	V+a	w
arrecife	V/K	u
arreglar	V/4	v
arreglar	WAn	8
arreglo	WCn	v
arreglo	WDW	v
arreglo floral	WBj	BE
arrendar	WEF	i
arrepentida	WEn	BP
arrepentido	WEn	BP
arrepentimiento	WF2	+
arrepentirse	WG0	r
arrestar	WHf	l
arresto	WIE	p
arriba	WIt	g
arribista	WJN	BL
arriesgada	WKY	BT
arriesgado	WKY	BT
arriesgar	WLr	BV
arriesgar	WNA	s
arrimar	WNs	z
arrinconar	WOf	0
arroba	WPT	BM
arrodillarse	WQf	t
arrogancia	WRM	3
arrogancia	WSD	B5
arrogante	WT8	s
arrogante	WUo	BX
arrojada	WV/	Bw
arrojado	WV/	Bw
arrojar	WXv	g
arropar	WYP	i
arroyo	WYx	o
arroz	WaJ	m
arrozal	WZZ	w
arruga	Wav	p
arrugarse	WbY	t
arruinar	WcF	l
arsenal	Wcq	t
arsénico	WdX	s
arte	Wf1	j
arte culinario	WeD	BA
artefacto	WfD	y
arteria	WgY	s
arterioesclerosis	WhE	BN
arteriosclerosis	WiR	BL
artes marciales	Woi	BG
artes plásticas	Wpo	BN
artesa	Wjc	m
artesana	Wlo	BR
artesanal	WkC	u
artesano	Wlo	BR
artesano	Wm5	y
artesano	Wnr	3
artesanía	Wkw	4
articulación	Wrt	6
articular	Wsn	p
articulo	WtQ	v
artificial	Wt/	v
artillería	Wuu	4
artimaña	Wvm	v
artista	WwV	v
artista	WxE	t
artritis	Wy6	w
artística	Wxx	BJ
artístico	Wxx	BJ
arveja	Wzq	v
arzobispo	W0Z	2
arándano	Uyz	y
as	XzQ	c
asada	W1P	y
asado	W1P	y
asado	W2B	m
asaltante	W2n	0
asaltante	W3b	y
asaltar	W4N	j
asalto	W4w	q
asamblea	W50	y
asar	W6m	W
asbesto	W68	q
ascendencia	W7m	6
ascendente	W8g	BD
ascender	W9j	l
ascendiente	W+I	z
ascensión recta	W+7	BW
ascensor	XAR	v
ascensor	XBA	BB
asco	XCB	h
asco	XCi	BL
aseada	XDt	BH
aseado	XDt	BH
asear	XE0	r
asediar	XFf	h
asedio	XGA	s
asegurada	XGs	BM
asegurado	XGs	BM
asegurar	XH4	m
asemejarse	XIe	x
asentamiento	XMz	4
asentamiento informal	XJP	Dk
asentamiento irregular	XJP	Dk
asentar	XOV	e
asentarse	XNr	q
aseo	XOz	+
asequible	XPx	q
aserradero	XQb	4
asesina	XRT	u
asesina	XT3	5
asesinar	XSB	y
asesinato	XSz	BE
asesino	XT3	5
asesino	XXU	s
asesino a sueldo	XUw	Bd
asesino en serie	XWN	BH
asesor	XYi	8
asesor	XZe	r
asesora	XYi	8
asesorar	XYA	i
asfaltada	XaJ	BJ
asfaltado	XaJ	BJ
asfalto	XbS	q
asfixia	Xb8	t
asfixiar	Xcp	k
asia	XdN	U
asia menor	Xd3	6
asiento	Xhq	o
asignación	XiS	3
asignada	XjJ	BW
asignado	XjJ	BW
asignar	Xkf	h
asignatura	XlA	x
asignatura	Xlx	8
asilada	Xmt	v
asilado	Xnc	t
asilo	XpN	j
asilo de ancianos	XoJ	BE
asimilar	XrA	m
asimismo	Xrm	g
asimétrica	Xpw	BQ
asimétrico	Xpw	BQ
asir	XsG	a
asistencia	Xsw	Bn
asistencia	XuX	4
asistencia	XvP	BH
asistenta	XwW	1
asistente	XxL	z
asistir	Xx+	v
asiática	Xex	/
asiático	Xex	/
asma	Xyt	j
asmática	Xzs	BB
asmático	Xzs	BB
asno	X0t	h
asociación	X1O	B3
asociado	X3F	x
asociarse	X32	s
asomarse	X4i	l
asombrar	X5H	k
asombrarse	X5r	r
asombro	X6W	t
asombro	X7D	w
asombrosa	X7z	BJ
asombroso	X7z	BJ
aspa	X88	BN
aspecto	X+J	r
aspectos	X+0	BE
aspereza	X/4	y
asperjar	YAq	0
aspiración	YCR	BN
aspiración	YDe	BM
aspirador	YFj	3
aspiradora	YEq	5
aspirante	YGa	z
aspirar	YHN	h
aspirar	YHu	x
aspirina	YIf	v
asquear	YJO	c
asquerosa	YKp	BU
asquerosa	YL9	BC
asquerosidad	YJq	/
asqueroso	YKp	BU
asqueroso	YL9	BC
aster	YM/	l
astilla	YNk	r
astral	YOP	i
astrología	YOx	3
astronauta	YPo	2
astronave	YQe	1
astronomía	YSG	3
astronómica	YS9	BU
astronómico	YS9	BU
astrosa	YVC	6
astroso	YVC	6
astrónoma	YRT	z
astrónomo	YUR	x
astucia	YV8	w
astuta	YWs	0
astuta	YXg	Be
astuto	YWs	0
astuto	YXg	Be
asumir	YY+	t
asunto	YZr	u
asustar	Ybc	j
así	Xdh	W
así	Xsg	Q
así como	Xfw	g
así de	XhR	Z
así de pronto 	XgQ	BB
atacador	Yc1	y
atacadora	Yb/	2
atacante	Ydn	w
atacar	YeX	f
atado	Ye2	n
atajar	Yfd	y
atajo	YgP	p
ataque	Yg4	n
ataque	Yhf	BC
ataque	Yih	BF
ataque	Yjm	8
ataque suicido	Yki	Bj
atar	Ym8	o
atardecer	YmF	3
atascar	Ynk	v
atasco	Yo4	6
atasco	YoT	l
ataúd	Ypy	m
atea	Y2M	9
atea	YqY	m
atemorizar	Yq+	w
atenas	Yru	Y
atención	YsG	w
atender	Ys2	y
atenerse	Yto	s
atenta	Y0C	4
atentado	YvL	BG
atentado	YwR	w
atentado contra	YuU	3
atentado terrorista	YxB	BT
atentamente	YyU	/
atentar	YzT	v
atento	Y0C	4
atenuante	Y06	u
atenuar	Y1o	k
ateo	Y2M	9
ateo	Y3J	k
aterrar	Y3t	BB
aterrizaje	Y6K	1
aterrizaje de emergencia	Y4u	Bc
aterrizar	Y6/	l
aterrorizar	Y7k	BA
atestado	Y8k	v
atestar	Y9T	g
atestiguar	Y9z	n
atlas	ZD2	k
atleta	ZEa	p
atleta	ZFD	n
atletismo	ZHk	3
atlántica	ZCy	BE
atlántico	ZCy	BE
atlética	ZFq	BA
atlética	ZGq	6
atlético	ZFq	BA
atlético	ZGq	6
atmosférica	ZJP	BW
atmosférico	ZJP	BW
atmósfera	ZIb	0
atomización	ZMw	+
atomizador	ZNu	BP
atontar	ZQd	h
atormentar	ZQ+	m
atornillar	ZRk	o
atracar	ZSM	BZ
atracar	ZTl	k
atracción	ZUJ	1
atraco	ZU+	BS
atraco	ZWQ	r
atractiva	ZW7	BZ
atractivo	ZW7	BZ
atraer	ZYU	f
atraer	ZYz	BJ
atragantarse	ZZ8	1
atrancar	Zax	i
atrapada	ZbT	BE
atrapado	ZbT	BE
atrapar	ZcX	7
atrasada	ZdS	BG
atrasado	ZdS	BG
atrasarse	ZeY	s
atraso	Zfr	t
atravesar	Zg/	p
atrayente	ZiQ	t
atreverse	Zi9	1
atrevida	Zjy	BE
atrevido	Zjy	BE
atrevimiento	Zk2	4
atribuir	Zlu	n
atributo	ZmV	x
atrocidad	ZnG	Bg
atrocidad	Zom	Bl
atrofia	ZqL	s
atropellar	Zq3	6
atropello	Zrx	1
atroz	Zsm	k
atrás	ZfE	n
atrás	ZgY	n
atufar	Ztu	d
aturdida	Zuy	BG
aturdido	Zuy	BG
aturdimiento	Zv4	+
aturdirse	Zw2	t
atípica	ZB3	7
atípico	ZB3	7
atómica	ZL5	3
atómico	ZL5	3
atónita	ZPh	8
atónito	ZPh	8
atún	ZuL	n
audacia	Zxj	v
audaz	ZyS	f
audible	Zyx	l
audición	ZzW	x
audiencia	Z0H	3
auditiva	Z2p	BF
auditivo	Z2p	BF
auditor	Z5A	x
auditorio	Z3u	BS
audífono	Z0+	5
audífono	Z13	y
augsburgo	Z5x	m
aula	Z6X	i
aumentar	Z65	BH
aumentar	Z8A	BG
aumento	Z9G	t
aun	aCJ	g
aun así	Z+L	l
aun cuando	Z+w	0
aunque	aA7	Z
aunque	aBU	1
aureola	aCp	1
auricular	aEc	BN
auriculares	aDe	+
aurora	aGq	v
aurora	aHZ	BG
aurora boreal	aFp	BB
ausencia	aIf	z
ausente	aJS	l
auspiciador	aKz	BP
auspiciadora	aJ3	8
auspiciar	aMC	m
auspicio	aMo	v
austral	aNX	l
australia	aN8	l
australiana	aOh	BT
australiano	aOh	BT
austria	aRD	i
austriaca	aP0	BP
austriaco	aP0	BP
autentica	aSn	BU
autenticidad	aRl	BC
autentico	aSn	BU
autismo	aT7	s
autista	aUn	s
autista	aVT	q
auto	auo	Be
autobiografía	aV9	BG
autobiográfica	aXD	Bq
autobiográfico	aXD	Bq
autobús	aYt	BA
autocar	aZt	v
autocontrol	aac	BB
autocrítica	acW	8
autocrítica	adS	BY
autocrítico	adS	BY
autodefensa	agB	BC
autodidacto	ahD	6
autodominio	ah9	BB
autoescuela	ai+	4
autoestop	alu	x
autoestopista	aj2	9
autoestopista	akz	7
autogestión	amf	/
automatización	arg	BI
automovilista	aso	BB
automovilista	atp	/
automática	aqR	BP
automáticamente	apV	8
automático	aqR	BP
automóvil	auo	Be
autonomía	aw6	BI
autonomía	awG	0
autonomía	ayC	Bs
autopista	a2Q	y
autopsia	a3C	u
autor	a/2	Bf
autor	bBV	7
autor	bCQ	8
autora	a3w	Bn
autoretrato	a5X	+
autoridad	a6V	2
autoridad	a7L	Bx
autoritaria	a88	BU
autoritario	a88	BU
autorización	a+Q	/
autorizar	a/P	n
autorretrato	bDM	BA
autosuficiencia	bEM	Bh
autosuficiente	bFt	/
autovía	bGs	w
autovía	bHc	2
autócrata	abd	5
autóctona	aeq	BX
autóctono	aeq	BX
autógrafo	ane	0
autómata	aoS	BD
autónoma	a0t	Bj
autónoma	azu	/
autónomo	a0t	Bj
autónomo	azu	/
auxiliar	bIS	o
auxilio	bI6	BA
avalancha	bJ6	x
avance	bKr	BF
avanzada	bLw	BN
avanzado	bLw	BN
avanzar	bM9	6
avanzar	bN3	k
avara	bOb	y
avaro	bOb	y
avaro	bPN	p
ave	bRN	h
ave cantora	bP2	4
ave rapaz	Dvr2	BT
avellana	bRu	x
avellano	bSf	4
avellano	bTX	0
avena	bUL	l
avenal	bUw	t
avenida	bVd	s
avenida	bWJ	r
avenir	bW0	t
aventajada	bXh	BR
aventajado	bXh	BR
aventajar	bYy	8
aventura	ba7	y
aventurada	bZu	BN
aventurado	bZu	BN
aventurero	bbt	4
avergonzada	bcl	BX
avergonzado	bcl	BX
avergonzarse	bd8	z
averiguación	bf0	BC
averiguar	bg2	9
aversión	bhz	z
avería	bev	BF
aves	bjB	r
avestruz	bjs	x
aviación	bkd	z
aviador	bmB	t
aviadora	blQ	x
avicultura	bna	7
avinagrada	boV	BW
avinagrado	boV	BW
avinagrarse	bpr	v
avisar	bta	7
aviso	buV	p
avispa	bwA	n
avispada	bu+	BC
avispado	bu+	BC
avispero	bwn	z
aviñón	bqa	g
avión	bsx	p
avión de caza	bq6	B3
avícola	bmu	s
axila	bxa	BA
axioma	bya	n
ayer	bzB	Y
ayuda	bzZ	m
ayudante	bz/	v
ayudar	b0u	e
ayudar	b1M	i
ayunar	b1u	d
ayuno	b2L	m
ayuntamiento	b2x	4
ayuntamiento	b3p	BV
azada	b4+	m
azafata	b5k	BN
azafrán	b6x	u
azahar	b7f	BL
azahar	b8q	x
azar	b+A	8
azar	b9b	l
azor	b+8	BC
azotar	b/+	j
azote	cBR	v
azotea	cAh	w
azteca	cCA	j
azteca	cCj	o
azucarada	cDL	BL
azucarado	cDL	BL
azucarero	cFZ	2
azucena	cG5	s
azufre	cHl	r
azul	cJL	U
azul	cNl	i
azul celeste	cJf	BI
azul claro	cKn	n
azul marino	cM6	r
azul turquesa	cOi	v
azulada	cIQ	7
azulado	cIQ	7
azuleja	cLO	BA
azulejo	cLO	BA
azulejo	cMO	s
azulón	cOH	b
azúcar	cGP	q
azúcar de caña	cEW	BD
aérea	GxC	x
aéreo	GxC	x
añadir	PT9	h
añadir	PTa	j
añeja	P9g	6
añejarse	P8+	i
añejo	P9g	6
año	Q54	h
año civil	Q1x	5
año nuevo	Q8t	1
añorar	Q+M	h
años atrás	RBL	r
aún	Z/4	j
aún	Z9z	Y
aún no	aAb	g
baba	cPR	k
babear	cP1	e
babero	cQT	+
babilónico	cRR	w
babor	cSB	p
babosa	cSq	v
babosa	cTZ	3
baboso	cTZ	3
babucha	cUQ	u
bacalao	cU+	t
bacana	cVr	v
bache	cWa	BA
bachiller	cYR	BP
bachillerato	cXa	3
bacilo	cZg	q
bacteria	cav	u
bactericida	cbd	6
bacteriológico	ccX	8
bacán	cVr	v
bacón	caK	l
badenwurtemberg	ceM	BO
badminton	cfa	Bt
badén	cdT	5
bafle	chH	r
bagaje	chy	p
bagatela	cib	x
bah	cjM	8
bahréin	cks	d
bahía	ckI	k
bailable	clJ	m
bailador	clv	n
bailador	cmW	x
bailar	cos	b
bailarina	cnH	0
bailarín	cn7	x
baile	cpH	k
baja	c0r	BE
baja	c1v	+
baja	c2t	u
baja	crR	Bp
baja	cz5	y
baja baviera	cpr	+
baja sajonia	cvp	8
bajada	cqp	o
bajamar	cs6	q
bajar	ctk	c
bajar	cuA	BG
bajar	cvG	j
bajeza	cwl	s
bajista	cxR	BB
bajo	c0r	BE
bajo	c1v	+
bajo	c2t	u
bajo	c6W	U
bajo	cz5	y
bajo alemán	cyS	Bn
bajo fianza	c3b	r
bajo fuego	c4G	0
bajón	c46	Bc
bala	c7T	1
balada	c6q	p
balance	c8w	r
balance	c9b	q
balancear	c8I	o
balanza	c+F	q
balaustrada	c+v	6
balazo	c/p	o
balazo	dAR	BB
balbucear	dBS	m
balbuceo	dB4	y
balcanes	dCq	v
balcánica	dEA	BS
balcánico	dDZ	n
balcánico	dEA	BS
balcón	dFS	o
balde	dF6	l
baldosa	dGf	q
balido	dHJ	p
baliza	dId	/
ballena	dJc	m
ballet	dKC	o
balneario	dKq	x
baloncesto	dLb	2
balonmano	dMR	x
balonvoley	dOS	2
balsa	dPI	k
balsero	dQ+	s
balístico	dHy	r
balón	dNC	k
balón	dNm	s
bambolear	dTh	j
bambú	dUE	m
bambú	dUq	+
banal	dWa	v
banalidad	dXJ	0
banana	dX9	Br
bananal	dZo	BN
banano	da1	v
bancario	dce	j
bancarrota	ddB	1
banco	dd2	Bu
banco	dfk	j
banco	dgH	BW
banco	dhd	5
banco de peces	dd2	Bu
banda	diW	4
banda sonora	djO	BR
bandeja	dkf	q
bandera	dlJ	p
bandida	dly	s
bandido	dme	+
bandolera	dnc	y
bandolero	doO	BE
banquera	dsg	t
banquero	dtN	r
banquete	dt4	BC
banquete	du6	t
bar	eDt	BD
bar	eEw	i
baraja	dvn	s
barajar	dwT	p
baranda	dw8	t
barata	d0D	0
barata	dxp	x
baratero	dya	7
baratija	dzV	u
barato	d0D	0
baratura	d03	z
barba	d2Y	l
barba de chivo	3Hq	Bc
barbacoa	d1q	u
barbaridad	d3q	1
barbero	d5r	/
barbi barbirojo barbirubio etc	d6q	CE
barbilla	d8u	r
barbitúrico	d9Z	Ba
barbudo	d+z	l
barbárico	d29	t
barca	d/Y	2
